#SLFR RTP Motor_Comp_w_accel_fb
#Gth num=[ 18.32547182 -17.20911971]
#Gth den=[ 1.         -0.77672958]
#Ga num=[ 0.00045097  0.00045152 -0.00044989 -0.00045043]
#Ga den=[ 1.         -2.9289362   2.85853684 -0.92960052]
#t	n	u	v	$\theta$	a	$\hat{\theta}_d$
0.772	386	200	-2.314191499	201	1.04	200.9355354
0.774	387	200	-2.570422382	201	1.04	200.897285
0.776	388	200	-2.799684517	201	2.04	200.8597146
0.778	389	200	-3.015967666	201	0.04	200.8223479
0.78	390	200	-3.221803382	201	0.04	200.7851925
0.782	391	200	-3.394368862	201	-1.96	200.7496083
0.784	392	200	-3.507898105	201	-2.96	200.7173108
0.786	393	200	-3.534411799	201	-3.96	200.690346
0.788	394	200	-3.452548129	201	-3.96	200.6706148
0.79	395	200	-3.262611903	201	-2.96	200.6589804
0.792	396	200	-2.989851452	201	-0.96	200.6548885
0.794	397	200	-2.686930638	201	0.04	200.6560149
0.796	398	200	-2.410983178	201	1.04	200.6592914
0.798	399	200	-2.197675014	201	2.04	200.6623122
0.8	400	200	-2.06607327	200	1.04	200.6632892
0.802	401	200	16.31130824	200	1.04	200.6614614
0.804	402	200	13.33484616	200	1.04	200.657475
0.806	403	200	10.989977	200	-0.96	200.6519327
0.808	404	200	9.15250833	200	1.04	200.6458472
0.81	405	200	7.725826789	200	2.04	200.6401617
0.812	406	200	6.593419554	200	5.04	200.6334986
0.814	407	200	5.631951803	200	3.04	200.6227726
0.816	408	200	4.762670243	200	2.04	200.6060163
0.818	409	200	3.982620541	200	0.04	200.584559
0.82	410	200	3.322411439	200	1.04	200.5614447
0.822	411	200	2.788840109	200	-0.96	200.5386052
0.824	412	200	2.370358327	200	-1.96	200.5169365
0.826	413	200	2.0743749	200	-2.96	200.4981737
0.828	414	200	1.91461178	200	-0.96	200.4843813
0.83	415	200	1.868300599	200	0.04	200.4756734
0.832	416	200	1.876363129	200	1.04	200.4698989
0.834	417	200	1.884945531	200	0.04	200.4646028
0.836	418	200	1.877381849	200	0.04	200.4588528
0.838	419	200	1.86566769	200	-1.96	200.4531345
0.84	420	200	1.875574244	200	0.04	200.4488015
0.842	421	200	1.918632228	200	-1.96	200.4466623
0.844	422	200	1.987122043	200	-0.96	200.4465658
0.846	423	200	2.083313332	200	-0.96	200.4488213
0.848	424	200	2.200632265	200	1.04	200.4532642
0.85	425	200	2.309181762	200	3.04	200.4583873
0.852	426	200	2.361170678	200	3.04	200.4614344
0.854	427	200	2.319922643	200	2.04	200.4598414
0.856	428	200	2.198713861	200	2.04	200.4534796
0.858	429	200	2.032719785	200	1.04	200.4435846
0.86	430	200	1.849110444	200	1.04	200.4313088
0.862	431	200	1.668838319	200	1.04	200.4177259
0.864	432	200	1.499762787	200	1.04	200.4033851
0.866	433	200	1.33964794	200	1.04	200.3883469
0.868	434	200	1.186755077	200	3.04	200.3726681
0.87	435	200	1.023203036	200	3.04	200.3555
0.872	436	200	0.8187200903	200	2.04	200.3351516
0.874	437	200	0.5748789925	200	1.04	200.3114036
0.876	438	200	0.3260281462	200	0.04	200.2858581
0.878	439	200	0.1068847494	200	-0.96	200.260458
0.88	440	200	-0.05588480902	200	-0.96	200.2370115
0.882	441	200	-0.1501303647	200	-1.96	200.2167495
0.884	442	200	-0.1749015538	200	-1.96	200.2003646
0.886	443	200	-0.1296078132	200	-0.96	200.1884995
0.888	444	200	-0.03046577287	200	0.04	200.1808475
0.89	445	200	0.08513770053	200	0.04	200.1757678
0.892	446	200	0.1883870408	200	0.04	200.1717318
0.894	447	200	0.2736520049	200	-0.96	200.1682183
0.896	448	200	0.3531623206	200	0.04	200.1656436
0.898	449	200	0.4363433577	200	-0.96	200.1643948
0.9	450	200	0.5221783388	200	-0.96	200.1643804
0.902	451	200	0.6181426956	200	-0.96	200.1659653
0.904	452	200	0.7299698691	200	-0.96	200.1694885
0.906	453	200	0.8537763588	200	1.04	200.1748133
0.908	454	200	0.9700189249	200	2.04	200.1809093
0.91	455	200	1.038874512	200	2.04	200.1854643
0.912	456	200	1.038046416	200	1.04	200.1867783
0.914	457	200	0.9835684216	200	1.04	200.1850744
0.916	458	200	0.9044209894	200	1.04	200.1814645
0.918	459	200	0.814699761	200	1.04	200.1765332
0.92	460	200	0.7170133745	200	0.04	200.1703745
0.922	461	200	0.6216509667	200	0.04	200.1635276
0.924	462	200	0.5447933881	200	1.04	200.1569457
0.926	463	200	0.4823312338	200	1.04	200.1506139
0.928	464	200	0.4145435451	200	1.04	200.1436163
0.93	465	200	0.3345241509	200	1.04	200.1355515
0.932	466	200	0.2452458945	200	0.04	200.1264979
0.934	467	200	0.1572806529	200	-0.96	200.1169797
0.936	468	200	0.09529306914	200	-0.96	200.1083872
0.938	469	200	0.07821796348	200	-1.96	200.1020137
0.94	470	200	0.1122764013	200	-1.96	200.0986107
0.942	471	200	0.2021536543	200	-1.96	200.098876
0.944	472	200	0.3430786305	200	-0.96	200.1030057
0.946	473	200	0.5147456618	200	-0.96	200.1102784
0.948	474	200	0.693195562	200	0.04	200.1195697
0.95	475	200	0.8599693787	200	-0.96	200.1298321
0.952	476	200	1.009144085	200	-0.96	200.1405408
0.954	477	200	1.15272346	200	-1.96	200.1521093
0.956	478	200	1.308223139	200	-0.96	200.1653729
0.958	479	200	1.480837841	200	-0.96	200.1806569
0.96	480	200	1.658002614	200	-0.96	200.1973613
0.962	481	200	1.830034896	200	0.04	200.2149265
0.964	482	200	1.989490691	200	1.04	200.2328313
0.966	483	200	2.11413583	200	2.04	200.2496886
0.968	484	200	2.17865994	200	2.04	200.2637569
0.97	485	200	2.171964705	200	1.04	200.2738679
0.972	486	200	2.11044393	200	1.04	200.2802897
0.974	487	200	2.023358133	200	1.04	200.2841756
0.976	488	200	1.925020855	200	0.04	200.2861499
0.978	489	200	1.826474634	200	0.04	200.2867943
0.98	490	200	1.744485873	200	0.04	200.2871024
0.982	491	200	1.683664619	200	0.04	200.2875479
0.984	492	200	1.639253278	200	1.04	200.2881207
0.986	493	200	1.599292378	200	1.04	200.2883603
0.988	494	200	1.546302429	200	0.04	200.2873875
0.99	495	200	1.483382855	200	-0.96	200.2852865
0.992	496	200	1.43773311	200	-0.96	200.2834893
0.994	497	200	1.430257172	200	-0.96	200.2833285
0.996	498	200	1.460441555	200	-0.96	200.2851415
0.998	499	200	1.519550413	200	-1.96	200.2887902
